
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
90,Cal Poly-San Luis Obispo,28,1,0,1,1189,45,Bob Howard,52,Damone Johnson,18,Bob Howard,169
91,Cal State-Bakersfield,1,0,0,0,86,0,Steve Neal,43,Steve Neal,0,Steve Neal,86
92,Cal State-Chico,6,0,0,0,175,11,Doug Dressler,17,Doug Dressler,11,Doug Dressler,68
93,Cal State-Fullerton,23,0,0,0,917,25,Mark Collins,58,James Pruitt,10,Mark Collins,168
94,Cal State-Hayward,3,0,0,0,15,0,Greg Blankenship,6,Greg Blankenship,0,Greg Blankenship,10
95,Cal State-Northridge,11,0,0,0,241,4,Doug Jones,18,Max Choboian,2,Bryan Wagner,106
96,Calgary,3,1,0,0,29,0,Daniel Federkeil,5,Brian Belway,0,Daniel Federkeil,28
97,California,240,36,1,83,13770,798,Aaron Rodgers,103,Tony Gonzalez,111,Tony Gonzalez,270
98,California (PA),14,4,0,1,321,29,Perry Kemp,20,Fran Rogel,19,Fran Rogel,96
99,California Lutheran,8,0,0,0,378,20,Brian Kelley,55,Hank Bauer,20,Brian Kelley,143
100,California Western,1,0,0,0,7,0,Jesse Murdock,0,Jesse Murdock,0,Jesse Murdock,7
101,California-Davis,16,1,0,3,750,16,Ken O'Brien,72,Daniel Fells,12,Ken O'Brien,129
102,California-Riverside,6,0,0,0,459,35,Russ Bolinger,32,Butch Johnson,28,Butch Johnson,144
103,California-Santa Barbara,8,0,0,3,252,43,Johnny Morris,53,Johnny Morris,37,Johnny Morris,121
104,Cameron,13,0,0,0,727,17,Mark Cotney,40,Joe Don Looney,13,Mark Cotney,127
105,Campion,2,0,0,0,8,0,Clarke Fischer,0,Clarke Fischer,0,Adolph Spiegel,6
106,Canisius,15,0,0,1,293,33,Al Guarnieri,0,Tom Colella,15,Tom Colella,89
107,Carleton,3,0,0,0,98,1,Bill Fleckenstein,0,Bill Fleckenstein,1,Bill Fleckenstein,84
108,Carlisle Indian,19,0,2,0,309,26,Xavier Downwind,0,Joe Guyon,10,Pete Calac,69
109,Carnegie Mellon,21,0,0,3,537,56,Latham Flanagan,0,Hap Moran,22,Hap Moran,99
110,Carroll (MT),2,0,0,0,102,6,Casey Fitzsimmons,6,Casey Fitzsimmons,6,Casey Fitzsimmons,99
111,Carroll (WI),13,0,0,0,58,1,Bill Hempel,0,Biff Taugher,1,Herb Bizer,9
112,Carson-Newman,19,1,0,1,742,22,Todd Collins,33,Boyce Green,9,Sanders Shiver,132
113,Carthage,5,0,0,0,125,10,Jim Jodat,8,Jim Jodat,10,Jim Jodat,87
114,Case Western Reserve,16,0,0,1,441,24,Red Kirkman,0,Warren Lahr,6,Warren Lahr,125
115,Catawba,15,1,0,0,265,20,Dave Taylor,32,Bucky Pope,13,Dave Taylor,72
116,Catholic,19,0,0,0,228,1,Tom Gormley,0,Ed Lynch,1,Rocco Pirro,71
117,CCNY,2,0,0,0,7,0,Willie Halpern,0,Willie Halpern,0,Roy Ilowit,4
118,Centenary,12,0,1,0,398,11,Cal Hubbard,0,Mack Flenniken,4,Cal Hubbard,105
119,Central Arkansas,12,0,0,0,423,37,Monte Coleman,41,Willie Davis,33,Monte Coleman,215
120,Central College (IA),2,0,0,0,167,1,Vern Den Herder,65,Vern Den Herder,1,Vern Den Herder,166
121,Central Connecticut St.,2,1,0,0,31,0,Joe Costello,3,Joe Costello,0,Joe Costello,31
122,Central Florida,55,16,0,10,2150,208,Daunte Culpepper,86,Brandon Marshall,65,Shawn Jefferson,196
123,Central Florida CC,1,0,0,0,99,2,Clinton Hart,24,Clinton Hart,2,Clinton Hart,99
124,Central Michigan,36,11,0,3,1451,68,J.J. Watt,63,Antonio Brown,32,Cullen Jenkins,153
125,Central Missouri St.,8,1,0,0,325,23,Jeff Wright,30,Delanie Walker,18,Delanie Walker,129
126,Central Oklahoma,24,2,0,1,616,21,Keith Traylor,58,J.W. Lockett,10,Keith Traylor,229
127,Central State (OH),21,0,0,7,830,6,Hugh Douglas,70,Darrell Grymes,2,Erik Williams,146
128,Central Washington,3,0,0,2,354,16,James Hasty,76,Jon Kitna,11,James Hasty,206
129,Centre,19,1,0,0,151,21,Gus King,0,Lou Smyth,13,Lou Smyth,55
130,Chadron St.,6,2,0,0,244,47,Don Beebe,33,Don Beebe,25,Don Beebe,116
131,Chapman,2,0,0,0,3,0,Matt George,0,Matt George,0,Fred Orns,2
132,Charleston (WV),7,0,0,0,167,1,Jimmy Carr,26,Jimmy Carr,1,Jimmy Carr,108
133,Cheyney,3,0,0,1,329,2,James Williams,55,Andre Waters,2,James Williams,166
134,Chicago,26,0,0,1,352,38,Art Engstrom,0,Milt Romney,9,Milt Romney,73
135,Chowan,8,0,0,0,858,16,George Koonce,51,Fred Banks,10,Mark Royals,224
136,Christian Brothers (MO),3,0,0,0,32,4,Charlie Essman,0,Norb Sacksteder,4,Norb Sacksteder,27
137,Cincinnati,128,18,0,7,5311,211,Trent Cole,67,Joe Morrison,65,Joe Morrison,184
138,Clarion,4,0,0,2,442,1,Alex Sandusky,46,Reggie Wells,1,Alex Sandusky,166
139,Clark (GA),6,0,0,0,301,19,Morris Stroud,10,Morris Stroud,7,Charles Evans,98
