
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
502,Oklahoma St.,172,21,2,51,7785,538,Barry Sanders,120,Barry Sanders,109,Keith Burns,197
503,Olivet,2,0,0,0,16,0,George Pyne,4,George Pyne,0,George Pyne,14
504,Oregon,222,35,6,71,10781,551,Dan Fouts,122,Ahmad Rashad,46,George Martin,201
505,Oregon St.,165,20,0,25,7182,446,Chad Johnson,87,Steven Jackson,77,Joe Phillips,200
506,Oregon Tech,4,0,0,0,244,17,Joe Cain,37,Nate Lewis,16,Joe Cain,131
507,Ottawa (KS),3,0,0,0,125,16,Derrick Ward,25,Derrick Ward,16,Derrick Ward,93
508,Otterbein,6,0,0,0,60,0,Ed Seibert,0,Bob Padan,0,Bob Agler,16
509,Ouachita Baptist,7,1,0,7,258,3,Cliff Harris,77,Ed Neal,1,Cliff Harris,141
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
510,Pacific,62,0,0,26,3206,150,Mike Merriweather,73,Dick Bass,42,Mike Merriweather,149
511,Pacific (OR),2,0,0,0,236,0,Dick Daniels,20,Dick Daniels,0,Tim Hauck,183
512,Pacific Lutheran,3,0,0,0,87,0,John Zamberlin,15,Craig Kupp,0,John Zamberlin,78
513,Palomar College,1,0,0,1,127,0,Tom Dempsey,27,Tom Dempsey,0,Tom Dempsey,127
514,Panhandle State (OK),1,0,0,0,47,0,Frank Beede,8,Frank Beede,0,Frank Beede,47
515,Park,1,0,0,0,32,0,Ken Jolly,7,Ken Jolly,0,Ken Jolly,32
516,Parsons,3,0,0,0,68,0,Mike Hennigan,14,Bruce Cortez,0,Mike Hennigan,64
517,Pasadena CC,4,0,0,0,106,3,Kim Anderson,9,Al Hoisington,2,Kim Anderson,56
518,Paul Quinn,1,0,0,0,20,0,Walter Napier,10,Walter Napier,0,Walter Napier,20
519,Penn St.,358,29,6,104,20057,1182,Jack Ham,113,Lenny Moore,113,Matt Bahr,235
520,Pennsylvania,60,0,1,8,1521,86,Chuck Bednarik,21,Tex Hamer,21,Chuck Bednarik,169
521,Pepperdine,5,0,0,0,130,1,Gerry Perry,10,Mel Embree,1,Gerry Perry,96
522,Peru St.,2,0,0,0,138,3,Joel Williams,56,Joel Williams,3,Joel Williams,137
523,Philander Smith,1,0,0,0,134,35,Elijah Pitts,28,Elijah Pitts,35,Elijah Pitts,134
524,Phillips,10,0,1,2,388,5,Doug Roby,0,Len Sedbrook,3,Bill Owen,138
525,Phoenix College (JC),1,0,0,1,47,11,Andy Livingston,18,Andy Livingston,11,Andy Livingston,47
526,Pierce College (CA),1,0,0,0,110,1,Jimmy Allen,36,Jimmy Allen,1,Jimmy Allen,110
527,Pittsburg St.,14,1,0,5,810,25,Eldon Danenhauer,35,Ronald Moore,15,Kendall Gammon,234
528,Pittsburgh,301,21,9,114,14551,877,Dan Marino,145,Curtis Martin,100,Dan Marino,242
529,Pittsburgh-Johnstown,1,0,0,1,68,0,Carlton Haselrig,22,Carlton Haselrig,0,Carlton Haselrig,68
530,Plymouth St.,1,0,0,0,2,2,Joe Dudek,2,Joe Dudek,2,Joe Dudek,2
531,Portland,4,0,0,0,58,1,Emmett Barrett,0,Elwyn Dunstan,1,Elwyn Dunstan,33
532,Portland St.,32,5,0,2,993,91,Neil Lomax,70,Julius Thomas,24,Adam Hayward,118
533,Prairie View,30,0,1,29,1780,204,Ken Houston,96,Otis Taylor,60,Ken Houston,196
534,Presbyterian,9,1,0,0,203,14,Ken Webb,7,Ken Webb,9,Ken Webb,73
535,Princeton,32,2,0,0,732,13,Carl Barisich,18,Dutch Hendrian,6,Carl Barisich,102
536,Principia,1,0,0,0,3,0,John Butler,0,John Butler,0,John Butler,3
537,Providence,5,0,0,1,124,12,Chuck Avedisian,0,Hank Soar,10,Hank Soar,82
538,Puget Sound,2,0,0,0,41,1,Mike Oliphant,2,Mike Oliphant,1,Mike Oliphant,26
539,Purdue,273,16,3,96,13212,636,Drew Brees,142,Mike Alstott,71,Rod Woodson,238
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
540,Queens (Canada),2,0,0,0,68,0,Mike Schad,26,Mike Schad,0,Mike Schad,62
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
541,Randolph-Macon,2,0,0,0,78,4,Howard Stevens,3,Howard Stevens,4,Howard Stevens,66
542,Redlands,4,0,0,0,167,3,John Houser,11,Don Thompson,2,John Houser,68
543,Regina (Canada),1,1,0,0,143,0,Jon Ryan,17,Jon Ryan,0,Jon Ryan,143
544,Regis,1,0,1,1,129,7,Arnie Herber,0,Arnie Herber,7,Arnie Herber,129
545,Rhode Island,19,1,0,0,339,2,Steve Furness,32,Rick Moser,2,Steve Furness,106
546,Rhodes,3,0,0,0,132,13,Tom Mullady,9,Gaylon Smith,9,Tom Mullady,75
547,Rice,85,7,1,25,3626,346,Don Maynard,101,Don Maynard,88,Larry Izzo,200
548,Richmond,45,6,0,4,1763,113,Paris Lenon,49,Tim Hightower,25,Paris Lenon,189
549,Rider,1,0,0,0,8,0,Les Maynard,0,Les Maynard,0,Les Maynard,8
550,Ripon,11,0,0,0,316,30,Dave Smith,18,Dave Smith,18,Dave Smith,65
551,Robert Morris,3,0,0,0,165,0,Hank Fraley,49,Robb Butler,0,Hank Fraley,142
552,Rochester,5,0,0,0,32,2,Ben Forsyth,0,Paul McKee,2,Paul McKee,23
553,Rocky Mountain,1,0,0,0,28,1,Chris Horn,4,Chris Horn,1,Chris Horn,28
554,Rose Hulman Tech,2,0,0,0,5,0,Joe Engelhard,0,Joe Engelhard,0,Owen Floyd,3
555,Rose St.,1,0,0,0,15,0,Tony Woods,2,Tony Woods,0,Tony Woods,15
556,Rowan,2,0,0,0,79,2,Dino Hall,2,Dino Hall,2,Dino Hall,64
557,Rust,1,0,0,0,16,0,Bob Hughes,5,Bob Hughes,0,Bob Hughes,16
558,Rutgers,102,29,0,12,3864,170,Deron Cherry,75,Ray Rice,43,Harry Swayne,186
559,Rutgers-Camden,1,0,0,2,186,0,Joe Fields,79,Joe Fields,0,Joe Fields,186
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
560,S.F. Austin,38,1,0,9,1747,86,Jeremiah Trotter,74,Larry Centers,42,Mark Moseley,213
561,Sacramento St.,20,0,0,2,890,11,Ken O'Brien,72,Dan Chamberlain,4,Lonie Paxton,189
562,Sacred Heart,1,0,0,0,43,0,Jon Corto,5,Jon Corto,0,Jon Corto,43
563,Saginaw Valley St.,12,3,0,0,676,11,Todd Herremans,53,Ruvell Martin,7,Eugene Marve,156
564,Salem,8,0,0,0,153,6,Orson Mobley,8,Orson Mobley,4,Orson Mobley,61
565,Salisbury,1,0,0,0,46,0,Byron Westbrook,3,Byron Westbrook,0,Byron Westbrook,46
566,Sam Houston St.,25,2,0,6,1048,21,Michael Bankston,51,Josh McCown,7,Michael Bankston,144
567,Samford,13,1,0,1,331,7,Cortland Finnegan,52,Cortland Finnegan,6,Cortland Finnegan,128
568,San Diego,8,1,0,0,98,1,Vern Valdez,13,Matt Maslowski,1,Vern Valdez,32
569,San Diego City Coll,1,0,0,0,4,0,Ernie Smith,0,Ernie Smith,0,Ernie Smith,4
570,San Diego St.,189,15,1,46,9783,706,Marshall Faulk,133,Marshall Faulk,136,Haven Moses,199
571,San Francisco,30,0,3,33,1572,128,Gino Marchetti,56,Ollie Matson,73,Ollie Matson,169
572,San Francisco St.,14,0,0,4,712,8,Floyd Peters,53,Pervis Atkins,3,Elmer Collett,145
573,San Jose St.,124,10,0,27,5727,459,Jeff Garcia,89,Art Powell,82,Steve DeBerg,206
574,Santa Clara,40,0,1,24,1951,196,Dan Pastorini,60,Alyn Beals,49,Bryan Barker,238
575,Santa Monica College (CA),2,0,0,0,50,6,Ralph Anderson,7,Ralph Anderson,6,John Harris,28
576,Santa Rosa JC,1,0,0,0,1,0,Larry Steele,0,Larry Steele,0,Larry Steele,1
577,Saskatchewan,2,0,0,0,5,0,Joe Kraker,0,Joe Kraker,0,Joe Kraker,5
578,Savannah St.,7,0,1,8,296,72,Shannon Sharpe,80,Shannon Sharpe,62,Shannon Sharpe,204
579,Schreiner College,6,0,1,7,375,80,Charley Johnson,79,Raymond Berry,68,Charley Johnson,165
580,Schuylkill,2,0,0,0,14,0,Ralph Barkman,0,Ralph Barkman,0,Ralph Barkman,8
581,Scranton,6,0,0,0,69,4,Doug Turley,0,Doug Turley,4,Doug Turley,50
582,SE Louisiana,16,1,0,0,632,16,Billy Andrews,40,Jerry Davis,4,Billy Andrews,142
583,SE Missouri St.,18,3,0,0,1023,5,Ken Iman,59,Willie Ponder,2,Ken Iman,194
584,SE Oklahoma St.,3,0,0,0,27,1,Earnest Hunter,2,Randy Burks,1,Earnest Hunter,21
585,Seattle,1,0,0,0,65,2,Ron Howard,10,Ron Howard,2,Ron Howard,65
586,Seton Hall,1,0,0,0,37,1,Joe Repko,0,Joe Repko,1,Joe Repko,37
587,Shaw,2,1,0,0,48,2,Van Green,14,Van Green,2,Van Green,48
588,Shepherd,3,1,0,0,125,32,Wayne Wilson,29,Wayne Wilson,32,Wayne Wilson,111
589,Sherman Indian,2,0,0,0,17,0,Reggie Attache,0,Reggie Attache,0,Elmer Busch,9
590,Shippensburg,5,2,0,2,425,24,Brent Grimes,40,John Kuhn,21,Rob Davis,183
591,Shreiner College,1,0,0,0,56,1,Tex Irvin,0,Tex Irvin,1,Tex Irvin,56
592,Simon Fraser,2,0,0,0,21,0,Doug Brown,4,Doug Brown,0,Doug Brown,20
593,Simpson,2,0,0,1,117,29,Ken Mercer,0,Kink Richards,19,Kink Richards,73
594,Sioux Falls,2,0,0,1,286,0,Brian Hansen,24,Rick Danmeier,0,Brian Hansen,212
595,Slippery Rock,5,1,0,0,97,1,Brandon Fusco,16,Chuck Sanders,1,Brandon Fusco,37
596,SMU,153,17,4,69,7115,622,Eric Dickerson,91,Eric Dickerson,96,Dale Hellestrae,205
597,Snow College (UT),1,0,0,0,55,2,David Archer,14,David Archer,2,David Archer,55
598,Sonoma St.,2,0,1,11,213,0,Larry Allen,99,Larry Allen,0,Larry Allen,203
599,South (England),1,0,0,1,116,0,John Smith,27,John Smith,0,John Smith,116
600,South Carolina,169,32,0,23,7472,574,John Abraham,90,Sterling Sharpe,66,John Abraham,192
601,South Carolina St.,56,4,3,32,3227,157,Harry Carson,91,John Gilliam,52,Donnie Shell,201
602,South Dakota,24,2,0,2,784,22,Ordell Braase,64,Jamel White,11,Ordell Braase,157
603,South Dakota St.,26,2,1,14,1454,81,Jim Langer,88,Pete Retzlaff,47,Adam Vinatieri,293
604,South Florida,37,15,0,2,1074,11,Anthony Henry,39,Anthony Henry,3,Anthony Henry,132
605,Southern,77,2,2,32,4103,229,Aeneas Williams,103,Harold Carmichael,79,Aeneas Williams,211
606,Southern Arkansas,6,1,0,0,257,4,Jordan Babineaux,26,Jordan Babineaux,3,Jordan Babineaux,131
607,Southern Colorado,5,0,0,0,181,34,Frank Grant,27,Frank Grant,18,Herman Heard,87
608,Southern Connecticut St.,11,0,0,0,411,1,Joe Andruzzi,46,Jamie Kurisko,1,Jacques Cesaire,125
609,Southern Illinois,38,5,0,12,1940,156,Jim Hart,99,Brandon Jacobs,64,Jim Hart,201
610,Southern Miss,112,7,1,33,5352,232,Brett Favre,156,Sammy Winder,48,Brett Favre,302
611,Southern Oregon,2,0,0,0,18,0,Andrae Thurman,1,Dusty McGrorty,0,Andrae Thurman,17
612,Southern Utah,8,2,0,0,263,4,Len Walterscheid,14,Len Walterscheid,1,Len Walterscheid,79
613,Southwestern (KS),2,0,0,0,6,0,Vic Baltzell,0,Vic Baltzell,0,Bob Layden,4
614,Southwestern (TX),9,0,0,1,148,1,R.W. Hicks,3,Rat Watson,1,Carlton Massey,49
615,Spring Hill,1,0,0,0,7,0,Ed McEvoy,0,Ed McEvoy,0,Ed McEvoy,7
616,Springfield,6,0,0,0,42,1,Jack Peavey,1,Len Watters,1,Vic Obeck,22
617,St. Ambrose,10,0,0,1,185,12,Waddy Kuehl,0,Waddy Kuehl,9,Louie Kolls,39
618,St. Anselm,2,0,0,2,85,30,Ray McLean,0,Ray McLean,30,Ray McLean,76
619,St. Augustine's,2,1,0,1,144,0,Ike Lassiter,46,Ike Lassiter,0,Ike Lassiter,112
620,St. Bernard,1,0,0,0,110,0,Neil O'Donoghue,12,Neil O'Donoghue,0,Neil O'Donoghue,110
621,St. Bonaventure,12,0,1,5,381,18,Al Kaporch,0,Jack Butler,9,Jack Butler,103
622,St. Cloud St.,11,1,0,0,296,4,Mick Luckhurst,21,John Kimbrough,3,Mick Luckhurst,95
623,St. Edmonds,1,0,0,0,1,0,Charlie Knox,0,Charlie Knox,0,Charlie Knox,1
624,St. Edward's,3,0,0,0,17,0,John Polisky,0,John Polisky,0,John Polisky,9
625,St. Francis (PA),7,0,0,0,90,7,Joe Restic,0,Tony Bova,7,Tony Bova,61
626,St. John's (MN),4,0,1,0,180,49,John McDowell,8,Johnny Blood,49,Johnny Blood,137
627,St. John's (NY),8,0,0,0,211,20,Dennis Bligen,4,Rex Thomas,15,Les Caywood,89
628,St. Joseph's (IN),3,0,0,4,187,5,Blaine Bishop,55,Nick Scollard,4,Blaine Bishop,138
629,St. Joseph's (PA),3,0,0,0,64,0,John Cole,0,John Cole,0,Vince Papale,41
630,St. Lawrence,4,0,0,4,270,6,Dave Jennings,28,Bill Leckonby,3,Dave Jennings,205
631,St. Leo,1,0,0,0,3,0,Sankar Montoute,2,Sankar Montoute,0,Sankar Montoute,3
632,St. Louis,19,0,0,0,451,6,Pat Leahy,39,Dick Schweidler,3,Pat Leahy,250
633,St. Mary's (CA),58,0,1,11,1500,167,John Henry Johnson,41,John Henry Johnson,55,John Henry Johnson,143
634,St. Mary's (Canada),2,0,0,0,23,0,Ken Clark,2,Ken Clark,0,Ken Clark,16
635,St. Mary's (KS),2,0,0,0,12,0,Lew Lane,0,Lew Lane,0,Tommy Murphy,7
636,St. Mary's (MN),9,0,0,0,79,0,Tony Mehelich,0,John Madigan,0,Clint Wager,23
637,St. Mary's (TX),3,0,0,0,67,6,Charlie Huneke,0,Curt Sandig,5,Charlie Huneke,29
638,St. Norbert,4,0,0,0,184,2,Ted Fritsch,18,Tip O'Neill,1,Ted Fritsch,102
639,St. Olaf,4,0,0,0,109,14,Bill Winter,17,Hal Erickson,13,Hal Erickson,67
640,St. Paul's,1,1,0,0,62,3,Greg Toler,16,Greg Toler,3,Greg Toler,62
641,St. Thomas,23,0,1,0,442,11,Jim Gustafson,5,Jim Gustafson,5,Walt Kiesling,125
642,St. Viator,2,0,0,0,13,3,Vince McCarthy,0,Vince McCarthy,3,Am Rascher,7
643,St. Vincent,6,0,0,0,64,0,Joe Ratica,0,Bap Manzini,0,Bap Manzini,23
644,Stanford,244,36,3,63,11860,936,John Elway,138,James Lofton,76,John Elway,234
645,Sterling,1,0,0,0,11,0,Ed Hiemstra,0,Ed Hiemstra,0,Ed Hiemstra,11
646,Still,1,0,0,0,3,0,Jim Regan,0,Jim Regan,0,Jim Regan,3
647,Stillman,4,2,0,0,186,0,Sammie Lee Hill,20,Quinn Porter,0,Sammie Lee Hill,87
648,Sul Ross St.,3,0,0,0,98,4,Johnny Hatley,5,Gene Alford,3,Johnny Hatley,48
649,SW Missouri St.,10,1,0,0,437,8,Jason Whittle,25,Clay Harbor,7,Brad St. Louis,144
650,SW Oklahoma St.,10,0,0,1,182,7,Carl Birdsong,11,Jim Simmons,5,Carl Birdsong,73
651,Swarthmore,5,0,0,0,41,5,Les Asplundh,0,Ned Wilcox,5,Ned Wilcox,26
652,Syracuse,246,16,6,89,10933,962,Marvin Harrison,124,Marvin Harrison,128,Gary Anderson,353
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
653,Tabor,1,0,0,1,118,2,Rolland Lawrence,63,Rolland Lawrence,2,Rolland Lawrence,118
654,Taft,1,0,0,0,19,0,Steve Alvers,0,Steve Alvers,0,Steve Alvers,19
655,Tampa,14,0,0,0,854,72,Freddie Solomon,58,Freddie Solomon,57,Freddie Solomon,151
656,Tarkio,2,0,0,0,110,0,Al Reynolds,31,Al Reynolds,0,Al Reynolds,98
657,Tarleton St.,9,1,0,0,242,7,Randy Winkler,7,Camp Wilson,6,James Dearth,146
658,Taylor,1,0,0,0,3,1,Wade Russell,0,Wade Russell,1,Wade Russell,3
659,TCU,169,16,2,44,6821,497,LaDainian Tomlinson,128,LaDainian Tomlinson,162,Guy Morriss,217
660,Temple,104,15,0,17,4363,189,Joe Klecko,71,Steve Watson,36,Kevin Ross,204
661,Tenn-Chattanooga,49,2,0,11,1869,223,Terrell Owens,119,Terrell Owens,156,Terrell Owens,219
662,Tenn-Martin,9,1,0,1,482,76,Nat Moore,80,Nat Moore,75,Nat Moore,183
663,Tennessee,316,33,2,119,17831,1127,Peyton Manning,176,Stanley Morgan,73,Peyton Manning,256
664,Tennessee St.,112,5,2,19,5183,177,Richard Dent,96,Larry Kinnebrew,47,Too Tall Jones,224
665,Tennessee Tech,14,2,0,1,726,24,Lonnie Warwick,59,Larry Schreiber,14,Jim Youngblood,156
666,Tennessee Wesleyan,2,0,0,0,29,0,Aaron Grant,0,Aaron Grant,0,Ray Graves,28
667,Texas,298,34,3,98,15926,969,Steve McMichael,99,Priest Holmes,94,Phil Dawson,247
668,Texas A&amp;M,281,26,1,87,15045,777,Richmond Webb,100,John David Crow,74,Jerry Fontenot,239
669,Texas A&amp;M-Commerce,24,0,0,8,1357,44,Harvey Martin,78,Aundra Thompson,9,Harvey Martin,158
670,Texas A&amp;M-Kingsville,51,2,3,30,3479,141,Gene Upshaw,109,David Hill,28,Darrell Green,295
671,Texas Southern,62,0,1,26,3263,253,Michael Strahan,121,Ken Burrough,50,Michael Strahan,216
672,Texas St.,34,4,0,2,1325,76,Bob Young,56,Ricky Sanders,38,Bob Young,194
673,Texas Tech,132,11,0,24,5516,385,Zach Thomas,115,Donny Anderson,56,Zach Thomas,184
674,Texas-Arlington,23,0,0,0,1378,65,Tim McKyer,50,Dexter Bussey,23,Tim McKyer,170
675,Texas-El Paso,80,6,1,14,3288,133,Don Maynard,101,Don Maynard,88,Seth Joyner,195
676,The Citadel,18,2,0,3,950,87,Paul Maguire,47,Stump Mitchell,42,Greg Davis,169
677,Thiel,3,0,0,0,17,0,Floyd Christman,0,Floyd Christman,0,Floyd Christman,9
678,Tiffin,2,2,0,0,200,59,Nate Washington,45,Nate Washington,41,Nate Washington,145
679,Toledo,66,11,1,9,2297,130,Andy McCollum,63,Lance Moore,41,Andy McCollum,199
680,Toronto,1,0,0,0,6,0,Dean Dorsey,0,Dean Dorsey,0,Dean Dorsey,6
681,Towson St.,9,2,0,5,815,39,Jermon Bushrod,49,Dave Meggett,27,Sean Landeta,284
682,Trinity (CT),6,0,0,0,130,0,Roger LeClerc,22,Dick Noble,0,Roger LeClerc,104
683,Trinity (IL),1,0,0,0,114,0,Karl Hankton,1,Karl Hankton,0,Karl Hankton,114
684,Trinity (TX),14,0,0,2,468,16,Marvin Upshaw,39,Jerheme Urban,8,Marvin Upshaw,99
685,Trinity Valley CC (TX),3,0,0,0,87,20,James Scott,35,James Scott,20,James Scott,71
686,Troy,52,13,0,8,1671,45,DeMarcus Ware,94,Derrick Moore,12,Osi Umenyiora,161
687,Truman St.,9,0,0,0,509,22,Lenvil Elliott,28,Lenvil Elliott,18,Mike Morris,188
688,Tufts,9,0,0,0,160,15,Mark Buben,7,Dinger Doane,15,Dinger Doane,64
689,Tulane,108,6,0,25,4975,404,Richie Petitbon,86,Hugh Taylor,58,Eddie Murray,250
690,Tulsa,159,5,3,25,6295,389,Steve Largent,103,Steve Largent,101,Steve Largent,200
691,Tusculum,1,0,0,0,43,0,Ricardo Colclough,2,Ricardo Colclough,0,Ricardo Colclough,43
692,Tuskegee,14,2,0,0,689,8,Drayton Florence,38,Drayton Florence,4,Drayton Florence,157
693,Tyler JC,1,0,0,0,20,0,Charley Quilter,0,Charley Quilter,0,Charley Quilter,20
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
694,U.S. International,7,0,0,0,284,17,Vernon Dean,34,Dwight McDonald,8,Vernon Dean,101
695,UCLA,304,25,5,93,17308,984,Jimmy Johnson,100,Maurice Jones-Drew,81,Norm Johnson,273
696,Union (NY),2,0,0,0,10,0,Fred Brumm,0,Fred Brumm,0,Rich Romer,9
697,Union (TN),2,0,0,0,19,0,Jim Jones,0,Jim Jones,0,Ralph Jones,17
698,Univ. of the South,1,0,0,0,6,0,Fred Benners,0,Fred Benners,0,Fred Benners,6
699,University of Alberta,1,0,0,0,4,0,Brian Fryer,0,Brian Fryer,0,Brian Fryer,4
700,UNLV,76,4,0,7,2379,178,Randall Cunningham,107,Keenan McCardell,64,Keenan McCardell,209
701,Upper Iowa,2,0,0,0,113,0,Mike Eischeid,17,Les Belding,0,Mike Eischeid,112
702,Upsala,3,0,0,0,9,0,Jim Apple,0,Jim Apple,0,Walt Housman,3
703,Urbana,1,0,0,0,9,0,Filip Filipovic,1,Filip Filipovic,0,Filip Filipovic,9
704,Ursinus,5,0,0,0,50,0,Reds Bassman,0,Jay Repko,0,Earl Potteiger,21
705,USC,483,52,12,219,26134,1696,Bruce Matthews,135,Marcus Allen,145,Bruce Matthews,296
706,Utah,147,29,1,35,6281,556,Steve Smith,100,Steve Smith,81,Steve Smith,198
707,Utah St.,116,11,1,33,5341,244,Merlin Olsen,111,MacArthur Lane,37,Jim Turner,228
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
708,Valdosta St.,14,3,0,5,551,10,Jessie Tuggle,72,Jessie Tuggle,6,Jessie Tuggle,209
709,Valencia CC (FL),1,0,0,0,1,0,Anthony Bright,0,Anthony Bright,0,Anthony Bright,1
710,Valparaiso,8,0,0,4,438,12,Fuzzy Thurston,50,Buck White,10,Abe Gibron,125
711,Vanderbilt,99,14,0,15,4212,165,Jay Cutler,76,Tom Moore,31,Will Wolford,191
712,Vermont,6,0,0,0,47,1,Frank Trigilio,0,Frank Trigilio,1,Lou Little,17
713,Villanova,85,4,1,16,2616,204,Howie Long,95,Brian Westbrook,73,Howie Long,179
714,Virginia,168,25,2,41,8912,693,Ronde Barber,110,Thomas Jones,71,Ronde Barber,241
715,Virginia St.,8,0,0,5,388,0,Larry Brooks,67,Ron Davis,0,Larry Brooks,131
716,Virginia Tech,139,24,1,28,6719,372,Bruce Smith,147,Antonio Freeman,61,Bruce Smith,279
717,Virginia Union,15,0,0,3,663,17,Herbert Scott,68,Carl Bland,7,Herbert Scott,140
718,VMI,14,0,0,9,457,40,Joe Fortunato,66,Bosh Pritchard,25,Joe Fortunato,155
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
719,Wabash,10,0,0,0,365,41,Pete Metzelaars,27,Pete Metzelaars,30,Pete Metzelaars,235
720,Wagner,2,1,0,0,69,5,Julian Stanford,4,Rich Kotite,5,Rich Kotite,35
721,Wake Forest,118,11,1,25,5543,295,Norm Snead,87,Jimmy Orr,66,Ricky Proehl,244
722,Wake Technical CC,1,0,0,2,126,1,Eric Swann,44,Eric Swann,1,Eric Swann,126
723,Walla Walla CC (WA),1,0,0,1,174,21,Mike Sellers,8,Mike Sellers,21,Mike Sellers,174
724,Washburn,9,2,0,0,178,1,Cary Williams,27,Cary Williams,1,Cary Williams,87
725,Washington,265,14,3,63,14100,629,Warren Moon,119,Corey Dillon,89,Blair Bush,246
726,Washington &amp; Jefferson,40,0,1,4,820,83,George Shaffer,0,Dan Towler,44,Pete Henry,86
727,Washington &amp; Lee,11,0,0,5,276,9,Walt Michaels,16,Bill Chipley,5,Walt Michaels,133
728,Washington (MD),2,0,0,0,33,0,Freddie Summers,7,Ed Keenan,0,Freddie Summers,23
729,Washington (MO),14,0,1,0,476,34,Shelby Jordan,41,Jimmy Conzelman,26,Shelby Jordan,151
730,Washington St.,174,9,3,49,8810,468,Drew Bledsoe,103,Keith Lincoln,40,Jason Hanson,327
731,Wayne State (MI),12,1,0,0,418,23,Rick Byas,30,Joique Bell,19,Paul Butcher,134
732,Wayne State (NE),9,0,0,1,332,7,Byron Chamberlain,17,Byron Chamberlain,6,Byron Chamberlain,106
733,Waynesburg,11,0,0,0,288,23,Don Herrmann,31,Don Herrmann,16,Don Herrmann,100
734,Weber JC,1,0,0,0,59,0,Al Lolotai,0,Al Lolotai,0,Al Lolotai,59
735,Weber St.,31,2,0,0,1179,8,Bob Pollard,46,Alfred Pupunu,3,Bob Pollard,154
736,Wesley,3,0,0,0,23,0,Mark Meseroll,3,Clarence Bailey,0,Mark Meseroll,16
737,Wesleyan,1,0,0,0,13,0,Jeff Wilner,0,Jeff Wilner,0,Jeff Wilner,13
738,West Alabama,8,0,0,0,172,0,Charles Martin,15,Fletcher Louallen,0,Charles Martin,76
739,West Chester,11,0,0,3,545,21,Lee Woodall,47,Joe Senser,16,Lee Woodall,124
740,West Georgia,4,0,0,0,98,4,Ron Dixon,6,Ron Dixon,4,Angelo Snipes,39
741,West Liberty St.,3,0,0,0,282,11,Mark Murphy,51,Lou Piccone,7,Mark Murphy,147
742,West Texas A&amp;M,49,6,0,8,1940,132,Jerry Logan,65,Mercury Morris,35,Reggie McElroy,165
743,West Virginia,192,18,2,43,8226,535,Chuck Howley,95,Joe Marconi,39,Darryl Talley,216
744,West Virginia St.,5,0,0,0,60,1,Torin Clark,1,Reggie Branch,1,Reggie Branch,38
745,West Virginia Tech,3,0,0,0,25,0,Chuck Banks,3,Chuck Banks,0,Chuck Banks,16
746,West Virginia Wesleyan,20,0,1,0,379,54,Bill Wood,1,Cliff Battles,31,Pete Calac,69
747,West. Carolina,13,0,0,4,1372,50,Clyde Simmons,87,David Patten,26,Clyde Simmons,236
748,West. Illinois,38,2,0,13,2204,102,Rodney Harrison,72,Larry Garron,42,Frank Winters,231
749,West. Kentucky,28,7,0,0,800,26,Dale Lindsey,33,Jeremi Johnson,8,David Carter,121
750,West. Maryland,10,0,0,0,136,16,Lou Lassahn,0,Bill Shepherd,15,Bill Shepherd,58
751,West. Michigan,47,8,0,14,2010,98,Greg Jennings,64,Greg Jennings,63,Joel Smeenge,156
752,West. Montana,1,0,0,0,71,0,Barry Darrow,26,Barry Darrow,0,Barry Darrow,71
753,West. Nebraska CC-Scottsbluff,1,0,1,7,157,8,Night Train Lane,57,Night Train Lane,8,Night Train Lane,157
754,West. New Mexico,1,0,0,0,27,1,Richard Angulo,2,Richard Angulo,1,Richard Angulo,27
